16,22,181,326,0,
20,22,184,378,0,
21,22,195,583,0,
0,0,195,769,0,
0,0,213,852,0,
13,17,381,846,0,
16,14,448,590,0,
16,19,500,370,0,
14,15,529,203,0,
19,16,679,123,0,
27,19,721,215,0,
20,21,770,456,0,
20,20,795,648,0,
22,21,831,772,0,
25,18,1026,772,1,
0,0,1107,528,1,
19,19,1170,329,1,
24,22,1247,138,1,
22,17,1500,167,1,
25,17,1617,275,1,
22,18,1689,468,1,
27,22,1674,628,1,
22,21,1704,755,1,
23,22,1665,829,1,
22,21,1453,770,1,
22,20,1133,736,1,
30,17,959,761,0,
33,19,660,785,0,
23,19,402,814,0,
16,18,257,748,0,
21,20,226,533,0,
19,21,214,387,0,
0,0,205,333,0,
19,20,127,270,0,
27,16,127,270,0,
0,0,127,270,0,
20,18,127,270,0,
22,23,127,270,0,
21,23,127,270,0,
17,22,127,270,0,
16,22,127,270,0,
12,21,127,270,0,
14,17,592,127,0,
19,18,592,127,0,
15,17,984,175,1,
22,18,984,175,1,
19,16,984,175,1,
23,17,1268,232,1,
20,18,1268,232,1,
23,20,1268,232,1,
18,18,1470,245,1,
18,18,1470,245,1,
22,22,1647,277,1,
25,19,1647,279,1,
22,17,1647,279,1,
23,19,1647,279,1,
22,18,1647,279,1,
22,15,1647,279,1,
22,15,1647,279,1,
25,16,1647,279,1,
25,15,1647,279,1,
25,17,1647,279,1,
22,15,1647,279,1,
22,18,1735,359,1,
22,18,1735,359,1,
24,16,1735,359,1,
20,12,1735,359,1,
24,14,1735,359,1,
20,16,1735,359,1,
19,12,1813,792,1,
21,16,1813,792,1,
29,17,1813,792,1,
24,15,1813,792,1,
29,14,1813,792,1,
25,19,1813,792,1,
26,16,1813,792,1,
30,16,1813,792,1,
29,13,1813,792,1,
27,15,1813,792,1,
22,15,1813,792,1,
27,16,1813,792,1,
18,13,1261,800,1,
20,14,1261,800,1,
26,17,1261,800,1,
18,16,1003,833,1,
22,14,1003,833,1,
26,14,1003,833,1,
27,18,1003,833,1,
22,17,700,835,0,
17,17,700,835,0,
23,17,700,835,0,
16,19,420,842,0,
13,16,420,842,0,
19,15,420,842,0,
19,20,297,837,0,
12,18,297,837,0,
21,19,297,837,0,
34,17,297,837,0,
0,0,150,801,0,
17,18,150,801,0,
23,17,150,801,0,
19,17,150,801,0,
0,0,150,801,0,
19,20,130,497,0,
18,19,128,378,0,
20,20,128,378,0,
0,0,128,338,0,
22,21,128,338,0,
18,17,128,338,0,
19,21,734,222,0,
20,21,734,222,0,
21,20,734,222,0,
22,17,1089,207,1,
0,0,1089,207,1,
29,18,1089,207,1,
26,20,1614,169,1,
0,0,1614,169,1,
15,14,1767,421,1,
18,15,1767,421,1,
26,21,1767,421,1,
0,0,1807,797,1,
23,21,1807,797,1,
